TIGHT_OMEGA_PACKED_CERT max_m=8 partitions=43820 threads=32
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=5 r=1 merged_local_states=3/3 elapsed=0.00s
LEVEL m=5 r=1 states=3 total_paths=3 max_fiber=1 elapsed=0.00s
progress m=5 r=2 processed=1/3 elapsed=0.00s
progress m=5 r=2 processed=2/3 elapsed=0.00s
progress m=5 r=2 processed=3/3 elapsed=0.00s
merge m=5 r=2 merged_local_states=0/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=0/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=5 r=2 merged_local_states=22/22 elapsed=0.00s
LEVEL m=5 r=2 states=22 total_paths=22 max_fiber=1 elapsed=0.00s
progress m=5 r=3 processed=1/22 elapsed=0.00s
progress m=5 r=3 processed=2/22 elapsed=0.00s
progress m=5 r=3 processed=3/22 elapsed=0.00s
progress m=5 r=3 processed=4/22 elapsed=0.00s
progress m=5 r=3 processed=5/22 elapsed=0.00s
progress m=5 r=3 processed=6/22 elapsed=0.00s
progress m=5 r=3 processed=7/22 elapsed=0.00s
progress m=5 r=3 processed=8/22 elapsed=0.00s
progress m=5 r=3 processed=9/22 elapsed=0.00s
progress m=5 r=3 processed=10/22 elapsed=0.00s
progress m=5 r=3 processed=11/22 elapsed=0.00s
progress m=5 r=3 processed=12/22 elapsed=0.00s
progress m=5 r=3 processed=13/22 elapsed=0.00s
progress m=5 r=3 processed=14/22 elapsed=0.00s
progress m=5 r=3 processed=15/22 elapsed=0.00s
progress m=5 r=3 processed=16/22 elapsed=0.00s
progress m=5 r=3 processed=17/22 elapsed=0.00s
progress m=5 r=3 processed=18/22 elapsed=0.00s
progress m=5 r=3 processed=19/22 elapsed=0.00s
progress m=5 r=3 processed=20/22 elapsed=0.00s
progress m=5 r=3 processed=21/22 elapsed=0.00s
progress m=5 r=3 processed=22/22 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=5 r=3 merged_local_states=191/191 elapsed=0.00s
LEVEL m=5 r=3 states=191 total_paths=191 max_fiber=1 elapsed=0.00s
progress m=5 r=4 processed=9/191 elapsed=0.00s
progress m=5 r=4 processed=18/191 elapsed=0.00s
progress m=5 r=4 processed=27/191 elapsed=0.00s
progress m=5 r=4 processed=36/191 elapsed=0.00s
progress m=5 r=4 processed=45/191 elapsed=0.00s
progress m=5 r=4 processed=54/191 elapsed=0.00s
progress m=5 r=4 processed=63/191 elapsed=0.00s
progress m=5 r=4 processed=72/191 elapsed=0.00s
progress m=5 r=4 processed=81/191 elapsed=0.00s
progress m=5 r=4 processed=90/191 elapsed=0.00s
progress m=5 r=4 processed=99/191 elapsed=0.00s
progress m=5 r=4 processed=108/191 elapsed=0.00s
progress m=5 r=4 processed=117/191 elapsed=0.00s
progress m=5 r=4 processed=126/191 elapsed=0.00s
progress m=5 r=4 processed=135/191 elapsed=0.00s
progress m=5 r=4 processed=144/191 elapsed=0.00s
progress m=5 r=4 processed=153/191 elapsed=0.00s
progress m=5 r=4 processed=162/191 elapsed=0.00s
progress m=5 r=4 processed=171/191 elapsed=0.00s
progress m=5 r=4 processed=180/191 elapsed=0.00s
progress m=5 r=4 processed=189/191 elapsed=0.00s
progress m=5 r=4 processed=191/191 elapsed=0.00s
merge m=5 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=5 r=4 merged_local_states=1866/1866 elapsed=0.00s
LEVEL m=5 r=4 states=1866 total_paths=2073 max_fiber=2 elapsed=0.00s
progress m=5 r=5 processed=93/1866 elapsed=0.00s
progress m=5 r=5 processed=186/1866 elapsed=0.00s
progress m=5 r=5 processed=279/1866 elapsed=0.00s
progress m=5 r=5 processed=372/1866 elapsed=0.00s
progress m=5 r=5 processed=465/1866 elapsed=0.00s
progress m=5 r=5 processed=558/1866 elapsed=0.00s
progress m=5 r=5 processed=651/1866 elapsed=0.00s
progress m=5 r=5 processed=744/1866 elapsed=0.01s
progress m=5 r=5 processed=837/1866 elapsed=0.01s
progress m=5 r=5 processed=930/1866 elapsed=0.01s
progress m=5 r=5 processed=1023/1866 elapsed=0.01s
progress m=5 r=5 processed=1116/1866 elapsed=0.01s
progress m=5 r=5 processed=1209/1866 elapsed=0.01s
progress m=5 r=5 processed=1302/1866 elapsed=0.01s
progress m=5 r=5 processed=1395/1866 elapsed=0.01s
progress m=5 r=5 processed=1488/1866 elapsed=0.01s
progress m=5 r=5 processed=1581/1866 elapsed=0.01s
progress m=5 r=5 processed=1674/1866 elapsed=0.01s
progress m=5 r=5 processed=1767/1866 elapsed=0.01s
progress m=5 r=5 processed=1860/1866 elapsed=0.01s
progress m=5 r=5 processed=1866/1866 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=5 r=5 merged_local_states=20218/20218 elapsed=0.02s
LEVEL m=5 r=5 states=20218 total_paths=27343 max_fiber=3 elapsed=0.02s
RESULT m=5 states=20218 total_paths=27343 max_omega=3 pow2=32 passes_pow2=yes
BEST m=5 partition=6,5,2,1,1,1,1,1,1,1 strips=(1,3);(2,1)|(1,4);(4,1)|(1,5);(6,1)|(1,6);(8,1)|(2,5);(10,1)
progress m=6 r=1 processed=1/1 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=6 r=1 merged_local_states=3/3 elapsed=0.00s
LEVEL m=6 r=1 states=3 total_paths=3 max_fiber=1 elapsed=0.00s
progress m=6 r=2 processed=1/3 elapsed=0.00s
progress m=6 r=2 processed=2/3 elapsed=0.00s
progress m=6 r=2 processed=3/3 elapsed=0.00s
merge m=6 r=2 merged_local_states=0/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=0/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=0/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=0/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=0/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=0/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=0/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=0/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=0/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=0/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
merge m=6 r=2 merged_local_states=22/22 elapsed=0.00s
LEVEL m=6 r=2 states=22 total_paths=22 max_fiber=1 elapsed=0.00s
progress m=6 r=3 processed=1/22 elapsed=0.00s
progress m=6 r=3 processed=2/22 elapsed=0.00s
progress m=6 r=3 processed=3/22 elapsed=0.00s
progress m=6 r=3 processed=4/22 elapsed=0.00s
progress m=6 r=3 processed=5/22 elapsed=0.00s
progress m=6 r=3 processed=6/22 elapsed=0.00s
progress m=6 r=3 processed=7/22 elapsed=0.00s
progress m=6 r=3 processed=8/22 elapsed=0.00s
progress m=6 r=3 processed=9/22 elapsed=0.00s
progress m=6 r=3 processed=10/22 elapsed=0.00s
progress m=6 r=3 processed=11/22 elapsed=0.00s
progress m=6 r=3 processed=12/22 elapsed=0.00s
progress m=6 r=3 processed=13/22 elapsed=0.00s
progress m=6 r=3 processed=14/22 elapsed=0.00s
progress m=6 r=3 processed=15/22 elapsed=0.00s
progress m=6 r=3 processed=16/22 elapsed=0.00s
progress m=6 r=3 processed=17/22 elapsed=0.00s
progress m=6 r=3 processed=18/22 elapsed=0.00s
progress m=6 r=3 processed=19/22 elapsed=0.00s
progress m=6 r=3 processed=20/22 elapsed=0.00s
progress m=6 r=3 processed=21/22 elapsed=0.00s
progress m=6 r=3 processed=22/22 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=6 r=3 merged_local_states=191/191 elapsed=0.00s
LEVEL m=6 r=3 states=191 total_paths=191 max_fiber=1 elapsed=0.00s
progress m=6 r=4 processed=9/191 elapsed=0.00s
progress m=6 r=4 processed=18/191 elapsed=0.00s
progress m=6 r=4 processed=27/191 elapsed=0.00s
progress m=6 r=4 processed=36/191 elapsed=0.00s
progress m=6 r=4 processed=45/191 elapsed=0.00s
progress m=6 r=4 processed=54/191 elapsed=0.00s
progress m=6 r=4 processed=63/191 elapsed=0.00s
progress m=6 r=4 processed=72/191 elapsed=0.00s
progress m=6 r=4 processed=81/191 elapsed=0.00s
progress m=6 r=4 processed=90/191 elapsed=0.00s
progress m=6 r=4 processed=99/191 elapsed=0.00s
progress m=6 r=4 processed=108/191 elapsed=0.00s
progress m=6 r=4 processed=117/191 elapsed=0.00s
progress m=6 r=4 processed=126/191 elapsed=0.00s
progress m=6 r=4 processed=135/191 elapsed=0.00s
progress m=6 r=4 processed=144/191 elapsed=0.00s
progress m=6 r=4 processed=153/191 elapsed=0.00s
progress m=6 r=4 processed=162/191 elapsed=0.00s
progress m=6 r=4 processed=171/191 elapsed=0.00s
progress m=6 r=4 processed=180/191 elapsed=0.00s
progress m=6 r=4 processed=189/191 elapsed=0.00s
progress m=6 r=4 processed=191/191 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=0/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
merge m=6 r=4 merged_local_states=1866/1866 elapsed=0.00s
LEVEL m=6 r=4 states=1866 total_paths=2073 max_fiber=2 elapsed=0.00s
progress m=6 r=5 processed=93/1866 elapsed=0.00s
progress m=6 r=5 processed=186/1866 elapsed=0.00s
progress m=6 r=5 processed=279/1866 elapsed=0.00s
progress m=6 r=5 processed=372/1866 elapsed=0.00s
progress m=6 r=5 processed=465/1866 elapsed=0.00s
progress m=6 r=5 processed=558/1866 elapsed=0.00s
progress m=6 r=5 processed=651/1866 elapsed=0.00s
progress m=6 r=5 processed=744/1866 elapsed=0.00s
progress m=6 r=5 processed=837/1866 elapsed=0.01s
progress m=6 r=5 processed=930/1866 elapsed=0.01s
progress m=6 r=5 processed=1023/1866 elapsed=0.01s
progress m=6 r=5 processed=1116/1866 elapsed=0.01s
progress m=6 r=5 processed=1209/1866 elapsed=0.01s
progress m=6 r=5 processed=1302/1866 elapsed=0.01s
progress m=6 r=5 processed=1395/1866 elapsed=0.01s
progress m=6 r=5 processed=1488/1866 elapsed=0.01s
progress m=6 r=5 processed=1581/1866 elapsed=0.01s
progress m=6 r=5 processed=1674/1866 elapsed=0.01s
progress m=6 r=5 processed=1767/1866 elapsed=0.01s
progress m=6 r=5 processed=1860/1866 elapsed=0.01s
progress m=6 r=5 processed=1866/1866 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=0/20218 elapsed=0.01s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
merge m=6 r=5 merged_local_states=20218/20218 elapsed=0.02s
LEVEL m=6 r=5 states=20218 total_paths=27343 max_fiber=3 elapsed=0.02s
progress m=6 r=6 processed=1010/20218 elapsed=0.00s
progress m=6 r=6 processed=2020/20218 elapsed=0.00s
progress m=6 r=6 processed=3030/20218 elapsed=0.01s
progress m=6 r=6 processed=4040/20218 elapsed=0.01s
progress m=6 r=6 processed=5050/20218 elapsed=0.01s
progress m=6 r=6 processed=6060/20218 elapsed=0.01s
progress m=6 r=6 processed=7070/20218 elapsed=0.01s
progress m=6 r=6 processed=8080/20218 elapsed=0.01s
progress m=6 r=6 processed=9090/20218 elapsed=0.01s
progress m=6 r=6 processed=10100/20218 elapsed=0.02s
progress m=6 r=6 processed=11110/20218 elapsed=0.02s
progress m=6 r=6 processed=12120/20218 elapsed=0.02s
progress m=6 r=6 processed=13130/20218 elapsed=0.02s
